;created_at;id;id_str;text;truncated;entities;metadata;source;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;user;geo;coordinates;place;contributors;is_quote_status;retweet_count;favorite_count;favorited;retweeted
0;Mon Aug 02 02:36:30 +0000 2021;1422023472595841024;1422023472595841024;Aí tô vendo muita gente reclamando da FMU medo de ir pra lá e ser mais uma;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 1150808916038733830, 'id_str': '1150808916038733830', 'name': 'Babs', 'screen_name': 'vii_barbara', 'location': 'Em cima de você ', 'description': '⚠️o perfil a seguir contém surto⚠️\npara de procurar um namorado e vai procurar um emprego vadia.  #blacklivesmatter', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 49, 'friends_count': 66, 'listed_count': 0, 'created_at': 'Mon Jul 15 16:46:41 +0000 2019', 'favourites_count': 7372, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 4378, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1411532400711147522/FXndGGAt_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1411532400711147522/FXndGGAt_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1150808916038733830/1624642550', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
1;Mon Aug 02 02:32:19 +0000 2021;1422022419246690304;1422022419246690304;fmu cobrando 1.085,00 de rematrícula vai tomar no cu kkkkkkkkkkk só rindo mesmo;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";;;;;;{'id': 426034839, 'id_str': '426034839', 'name': 'gi', 'screen_name': 'simitangi', 'location': '', 'description': 'sejam bem viados 🌸', 'url': 'https://t.co/DH4DgvXOiN', 'entities': {'url': {'urls': [{'url': 'https://t.co/DH4DgvXOiN', 'expanded_url': 'http://www.instagram.com/giovannasimitan', 'display_url': 'instagram.com/giovannasimitan', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 8005, 'friends_count': 3653, 'listed_count': 3, 'created_at': 'Thu Dec 01 19:16:25 +0000 2011', 'favourites_count': 3098, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 110436, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'FFFCFE', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1412191334283231233/PYEfkinI_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1412191334283231233/PYEfkinI_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/426034839/1627336738', 'profile_link_color': 'FA2DE2', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'regular', 'withheld_in_countries': []};;;{'id': '68e019afec7d0ba5', 'url': 'https://api.twitter.com/1.1/geo/id/68e019afec7d0ba5.json', 'place_type': 'city', 'name': 'Sao Paulo', 'full_name': 'Sao Paulo, Brazil', 'country_code': 'BR', 'country': 'Brazil', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-46.826039, -24.008814], [-46.365052, -24.008814], [-46.365052, -23.356792], [-46.826039, -23.356792]]]}, 'attributes': {}};;False;0;1;False;False
2;Mon Aug 02 02:31:27 +0000 2021;1422022200945692683;1422022200945692683;fmu putona desorganizada ta me tirando do sério faculdade de merda deixa eu me formar em paz desgraçada;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 811644477735661572, 'id_str': '811644477735661572', 'name': 'ؘ', 'screen_name': 'msrelas', 'location': '', 'description': 'não me incomodo. rio muito. a vida sem humor fica muito pesada.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 116, 'friends_count': 97, 'listed_count': 0, 'created_at': 'Wed Dec 21 18:48:17 +0000 2016', 'favourites_count': 5405, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 2407, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1421643588090408963/QKd5w5kL_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1421643588090408963/QKd5w5kL_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/811644477735661572/1616595038', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;1;False;False
3;Mon Aug 02 02:27:43 +0000 2021;1422021262025572357;1422021262025572357;acho que vou passar raiva com a fmu esse mês, tô sentindo;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";;;;;;{'id': 426034839, 'id_str': '426034839', 'name': 'gi', 'screen_name': 'simitangi', 'location': '', 'description': 'sejam bem viados 🌸', 'url': 'https://t.co/DH4DgvXOiN', 'entities': {'url': {'urls': [{'url': 'https://t.co/DH4DgvXOiN', 'expanded_url': 'http://www.instagram.com/giovannasimitan', 'display_url': 'instagram.com/giovannasimitan', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 8005, 'friends_count': 3653, 'listed_count': 3, 'created_at': 'Thu Dec 01 19:16:25 +0000 2011', 'favourites_count': 3098, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 110436, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'FFFCFE', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1412191334283231233/PYEfkinI_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1412191334283231233/PYEfkinI_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/426034839/1627336738', 'profile_link_color': 'FA2DE2', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'regular', 'withheld_in_countries': []};;;{'id': '68e019afec7d0ba5', 'url': 'https://api.twitter.com/1.1/geo/id/68e019afec7d0ba5.json', 'place_type': 'city', 'name': 'Sao Paulo', 'full_name': 'Sao Paulo, Brazil', 'country_code': 'BR', 'country': 'Brazil', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-46.826039, -24.008814], [-46.365052, -24.008814], [-46.365052, -23.356792], [-46.826039, -23.356792]]]}, 'attributes': {}};;False;0;0;False;False
4;Mon Aug 02 02:14:51 +0000 2021;1422018025134428160;1422018025134428160;Site bugado esse do fmu, q krlh;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 3414949672, 'id_str': '3414949672', 'name': 'Luketa 🇧🇷🥇(2)🥈(3)🥉(5)', 'screen_name': 'lguardee', 'location': 'São Paulo, Brasil', 'description': 'Talvez eu tenha me viciado nesse site', 'url': 'https://t.co/1w4UKTODYm', 'entities': {'url': {'urls': [{'url': 'https://t.co/1w4UKTODYm', 'expanded_url': 'https://www.instagram.com/lguardee/', 'display_url': 'instagram.com/lguardee/', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 120, 'friends_count': 265, 'listed_count': 1, 'created_at': 'Tue Aug 11 10:32:16 +0000 2015', 'favourites_count': 3471, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 2784, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1421789196944125956/l5hhkJJ4_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1421789196944125956/l5hhkJJ4_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/3414949672/1627815967', 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
5;Mon Aug 02 01:52:06 +0000 2021;1422012300035301376;1422012300035301376;Pior coisa q eu fiz foi baixar o app lá q a maya mandou. E usar o filtro de faculdade...sério só tem mulher bonita na fmu eu fico TRISTE...;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";;;;;;{'id': 1246534161759862785, 'id_str': '1246534161759862785', 'name': 'NABI', 'screen_name': 'bbamskrrt_', 'location': '', 'description': '•ela/dela •bi 🏳️\u200d🌈 •Movimento de Mulheres Olga Benário ✊🏻', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 70, 'friends_count': 204, 'listed_count': 1, 'created_at': 'Sat Apr 04 20:25:05 +0000 2020', 'favourites_count': 5526, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 6618, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1399214526239760387/ZVfF9KtN_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1399214526239760387/ZVfF9KtN_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1246534161759862785/1622433511', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
6;Mon Aug 02 01:08:53 +0000 2021;1422001422074359813;1422001422074359813;Dois dias, estamos a exatos 2 dias do retorno às aulas, e a dona @fmuoficial, ainda não liberou a grade horária. Fi… https://t.co/htY9j7NiKJ;True;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'fmuoficial', 'name': 'FMU', 'id': 146452841, 'id_str': '146452841', 'indices': [65, 76]}], 'urls': [{'url': 'https://t.co/htY9j7NiKJ', 'expanded_url': 'https://twitter.com/i/web/status/1422001422074359813', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 2971265639, 'id_str': '2971265639', 'name': 'Toriy Ribeiro', 'screen_name': 'brenoribeiro786', 'location': 'São Paulo, Brasil', 'description': 'Gosto de reclamar da vida 🙏🌼', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 191, 'friends_count': 486, 'listed_count': 0, 'created_at': 'Sat Jan 10 12:05:05 +0000 2015', 'favourites_count': 8181, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 2752, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1406561212549189636/Hpr1E9KK_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1406561212549189636/Hpr1E9KK_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2971265639/1621790277', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
7;Mon Aug 02 01:08:42 +0000 2021;1422001375836352516;1422001375836352516;@casrainbowings Tenta levar ele em um hospital universitário, é bem mais barato, tem o da fmu, eles salvaram a vida do meu cachorro lá;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'casrainbowings', 'name': 'bea | gish', 'id': 104873945, 'id_str': '104873945', 'indices': [0, 15]}], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";1.4220005932463022e+18;1422000593246302210;104873945.0;104873945;casrainbowings;{'id': 1261685161944629249, 'id_str': '1261685161944629249', 'name': 'gabi.', 'screen_name': 'sunisbrave', 'location': '', 'description': '11/07: you are brave and now you are free - fan account, ela/dela', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 1342, 'friends_count': 1308, 'listed_count': 5, 'created_at': 'Sat May 16 15:49:34 +0000 2020', 'favourites_count': 4636, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 4330, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1419819205512376322/tQ_c5t3K_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1419819205512376322/tQ_c5t3K_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1261685161944629249/1627346253', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
8;Mon Aug 02 00:34:51 +0000 2021;1421992856823140358;1421992856823140358;fmu você me paga por tudo odeio tanto vocês;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 3346173322, 'id_str': '3346173322', 'name': 'mandi', 'screen_name': 'oanavit', 'location': 'palmeiras', 'description': 'a vida depois do tombo', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 2781, 'friends_count': 384, 'listed_count': 27, 'created_at': 'Fri Jun 26 00:22:58 +0000 2015', 'favourites_count': 29296, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 114589, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1421914696001728512/FM6oCZrn_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1421914696001728512/FM6oCZrn_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/3346173322/1609683220', 'profile_link_color': '981CEB', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;1;False;False
9;Mon Aug 02 00:24:47 +0000 2021;1421990323992023046;1421990323992023046;Meu deus pq o site da fmu tem q ser tão lixo;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 776820889040068612, 'id_str': '776820889040068612', 'name': 'último homem romântico', 'screen_name': 'Marcofachinett1', 'location': 'Mauá, Brasil', 'description': '@warriors @SantosFC', 'url': 'https://t.co/OGRo47yVqZ', 'entities': {'url': {'urls': [{'url': 'https://t.co/OGRo47yVqZ', 'expanded_url': 'https://steamcommunity.com/id/Marcolino_br2', 'display_url': 'steamcommunity.com/id/Marcolino_b…', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 173, 'friends_count': 1023, 'listed_count': 0, 'created_at': 'Fri Sep 16 16:31:47 +0000 2016', 'favourites_count': 16126, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 12945, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1415188506176114688/kTtxI4vt_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1415188506176114688/kTtxI4vt_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/776820889040068612/1626145239', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
10;Sun Aug 01 22:29:00 +0000 2021;1421961189429481474;1421961189429481474;vou ter aula com a rosani de novo por deus fmu me mate agora;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";;;;;;{'id': 1420802232606498820, 'id_str': '1420802232606498820', 'name': 'fefê', 'screen_name': 'shxdezofher', 'location': '', 'description': '𝘄𝗲 𝗱𝗼𝗻𝘁 𝗵𝗮𝘃𝗲 𝘁𝗼 𝗯𝗲 𝗮𝗳𝗿𝗮𝗶𝗱 𝘁𝗼 𝘀𝘁𝗮𝗿𝘁 𝗼𝘃𝗲𝗿 | 𝑒𝑙𝑎 • 𝑑𝑒𝑙𝑎', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 98, 'friends_count': 125, 'listed_count': 0, 'created_at': 'Thu Jul 29 17:44:12 +0000 2021', 'favourites_count': 67, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 200, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1420803891936088066/pbbe3krp_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1420803891936088066/pbbe3krp_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1420802232606498820/1627581542', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
11;Sun Aug 01 22:01:28 +0000 2021;1421954256798638080;1421954256798638080;odeio a fmu que maldita n vai voltar aula presencial;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 813558811160092672, 'id_str': '813558811160092672', 'name': 'ؘ', 'screen_name': 'azkabanxs', 'location': ' ', 'description': 'maluca, surtada, depressiva e gostosa', 'url': 'https://t.co/eKcdmDNsSd', 'entities': {'url': {'urls': [{'url': 'https://t.co/eKcdmDNsSd', 'expanded_url': 'http://lovewins.xn--6ii/', 'display_url': 'lovewins.⠀', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 7017, 'friends_count': 6940, 'listed_count': 2, 'created_at': 'Tue Dec 27 01:35:10 +0000 2016', 'favourites_count': 6526, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 37258, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1412508312386650115/BqVbm90J_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1412508312386650115/BqVbm90J_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/813558811160092672/1622416555', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;1;False;False
12;Sun Aug 01 21:24:31 +0000 2021;1421944961239556096;1421944961239556096;quando minhas aulas voltarem eu vou xingar tanto a coordenação da fmu tanto;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 3346173322, 'id_str': '3346173322', 'name': 'mandi', 'screen_name': 'oanavit', 'location': 'palmeiras', 'description': 'a vida depois do tombo', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 2781, 'friends_count': 384, 'listed_count': 27, 'created_at': 'Fri Jun 26 00:22:58 +0000 2015', 'favourites_count': 29296, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 114589, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1421914696001728512/FM6oCZrn_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1421914696001728512/FM6oCZrn_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/3346173322/1609683220', 'profile_link_color': '981CEB', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
