;created_at;id;id_str;text;truncated;entities;metadata;source;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;user;geo;coordinates;place;contributors;is_quote_status;retweet_count;favorite_count;favorited;retweeted
0;Sat Jul 31 17:43:21 +0000 2021;1421526912556486660;1421526912556486660;queria um hobby, pensando em voltar a andar de skate ou sla;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";;;;;;{'id': 4819334590, 'id_str': '4819334590', 'name': 'Diega Riveiro', 'screen_name': 'smbdoutstorm', 'location': '', 'description': '•{Ela\\Dela}•', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 1915, 'friends_count': 1436, 'listed_count': 2, 'created_at': 'Sat Jan 16 21:20:00 +0000 2016', 'favourites_count': 42529, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 8121, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1414325610109972481/AwKH8Swz_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1414325610109972481/AwKH8Swz_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/4819334590/1615408299', 'profile_link_color': 'ABB8C2', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
1;Sat Jul 31 17:43:18 +0000 2021;1421526899629625347;1421526899629625347;.: “O skate é um estilo de vida muito show” https://t.co/2dfgMlFZxY;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/2dfgMlFZxY', 'expanded_url': 'https://jocerodrigues.blogspot.com/2021/07/o-skate-e-um-estilo-de-vida-muito-show.html?spref=tw', 'display_url': 'jocerodrigues.blogspot.com/2021/07/o-skat…', 'indices': [44, 67]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";;;;;;{'id': 340441649, 'id_str': '340441649', 'name': 'joce rodrigues', 'screen_name': 'jocerodrigues1', 'location': 'Santo Augusto/RS', 'description': '', 'url': 'http://t.co/CUFrAaE3Re', 'entities': {'url': {'urls': [{'url': 'http://t.co/CUFrAaE3Re', 'expanded_url': 'http://jocerodrigues.blogspot.com', 'display_url': 'jocerodrigues.blogspot.com', 'indices': [0, 22]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 210, 'friends_count': 733, 'listed_count': 1, 'created_at': 'Fri Jul 22 18:13:03 +0000 2011', 'favourites_count': 17, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 27243, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1455646945/Joce_1_normal.JPG', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1455646945/Joce_1_normal.JPG', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
2;Sat Jul 31 17:42:44 +0000 2021;1421526759384784904;1421526759384784904;Primeiro campeonato de skate na minha vida …. Segundo lugar que sensação brutal;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";;;;;;{'id': 1343335718576386049, 'id_str': '1343335718576386049', 'name': 'Ferreira 🛹', 'screen_name': 'GFerreira_111', 'location': 'Mcn-4630', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 80, 'friends_count': 64, 'listed_count': 0, 'created_at': 'Sun Dec 27 23:19:47 +0000 2020', 'favourites_count': 765, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 257, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1415365030158213125/wKADa7n5_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1415365030158213125/wKADa7n5_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1343335718576386049/1627642413', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
3;Sat Jul 31 17:42:10 +0000 2021;1421526615897645060;1421526615897645060;@juliette Declato ultramoderno, que consiste em em realizar todos esses esportes ao mesmo tempo: surfe, canoagem, f… https://t.co/xw9NuMiyJH;True;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'juliette', 'name': 'Juliette', 'id': 1351188841558913025, 'id_str': '1351188841558913025', 'indices': [0, 9]}], 'urls': [{'url': 'https://t.co/xw9NuMiyJH', 'expanded_url': 'https://twitter.com/i/web/status/1421526615897645060', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";1.4215200550372024e+18;1421520055037202436;1.351188841558913e+18;1351188841558913025;juliette;{'id': 850446436693135360, 'id_str': '850446436693135360', 'name': 'RafaOAS', 'screen_name': 'RafitchaOAS', 'location': '', 'description': 'Je ne suis pas OBRIGADA A NADA!!!', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 1273, 'friends_count': 99, 'listed_count': 1, 'created_at': 'Fri Apr 07 20:33:25 +0000 2017', 'favourites_count': 57585, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 26963, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/867875662903771136/JFt-XxQO_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/867875662903771136/JFt-XxQO_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/850446436693135360/1544017857', 'profile_link_color': 'FAB81E', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
4;Sat Jul 31 17:42:02 +0000 2021;1421526581919506432;1421526581919506432;Não sei andar de skate;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";1.4215264549033943e+18;1421526454903394307;1.3946708852446372e+18;1394670885244637187;zemariataful;{'id': 1394670885244637187, 'id_str': '1394670885244637187', 'name': 'zemariataful', 'screen_name': 'zemariataful', 'location': '', 'description': '“If the doors of perception were cleansed every thing would appear to man as it is, Infinite.“', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 64, 'friends_count': 58, 'listed_count': 0, 'created_at': 'Tue May 18 15:07:19 +0000 2021', 'favourites_count': 120, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 102, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1419662292099153925/tKwHkxWZ_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1419662292099153925/tKwHkxWZ_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1394670885244637187/1625605112', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
5;Sat Jul 31 17:41:43 +0000 2021;1421526503158960129;1421526503158960129;@NinjaMedica @LKastelar Boneco broken cancela a minha passiva de isolamento enquanto o player ta fazendo manobra de skate a 5 km do pc;False;{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NinjaMedica', 'name': 'Ninja Médica', 'id': 1248468749264367628, 'id_str': '1248468749264367628', 'indices': [0, 12]}, {'screen_name': 'LKastelar', 'name': 'kastelar', 'id': 1172636900861104128, 'id_str': '1172636900861104128', 'indices': [13, 23]}], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";1.4215262038533775e+18;1421526203853377543;1.2484687492643676e+18;1248468749264367628;NinjaMedica;{'id': 1285672150322601985, 'id_str': '1285672150322601985', 'name': 'Gabriel ConKha³¹', 'screen_name': 'gabrielconkha', 'location': 'Vazio.', 'description': 'bichampion em abstinência forçada\n\n( Header : @slthful )', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 234, 'friends_count': 214, 'listed_count': 6, 'created_at': 'Tue Jul 21 20:25:13 +0000 2020', 'favourites_count': 8717, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 6746, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1421173310315012105/CraNpTwd_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1421173310315012105/CraNpTwd_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1285672150322601985/1626048276', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
6;Sat Jul 31 17:41:32 +0000 2021;1421526454903394307;1421526454903394307;Tenho tanto jeito para falar com raparigas como tenho para andar de skate;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";;;;;;{'id': 1394670885244637187, 'id_str': '1394670885244637187', 'name': 'zemariataful', 'screen_name': 'zemariataful', 'location': '', 'description': '“If the doors of perception were cleansed every thing would appear to man as it is, Infinite.“', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 64, 'friends_count': 58, 'listed_count': 0, 'created_at': 'Tue May 18 15:07:19 +0000 2021', 'favourites_count': 120, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 102, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1419662292099153925/tKwHkxWZ_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1419662292099153925/tKwHkxWZ_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1394670885244637187/1625605112', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
7;Sat Jul 31 17:41:24 +0000 2021;1421526422972248066;1421526422972248066;Os únicos que fala que skate e coisa de vagabundo são os próprios skatistas boy loco querendo paga de malvadão https://t.co/v9ayUJmssx;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1421526416643039241, 'id_str': '1421526416643039241', 'indices': [111, 134], 'media_url': 'http://pbs.twimg.com/media/E7pGvo7XoAkjVKn.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E7pGvo7XoAkjVKn.jpg', 'url': 'https://t.co/v9ayUJmssx', 'display_url': 'pic.twitter.com/v9ayUJmssx', 'expanded_url': 'https://twitter.com/Gusttavo_Lessa/status/1421526422972248066/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 549, 'h': 680, 'resize': 'fit'}, 'large': {'w': 828, 'h': 1025, 'resize': 'fit'}, 'medium': {'w': 828, 'h': 1025, 'resize': 'fit'}}}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";;;;;;{'id': 785719056, 'id_str': '785719056', 'name': 'vishii', 'screen_name': 'Gusttavo_Lessa', 'location': '', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 272, 'friends_count': 343, 'listed_count': 0, 'created_at': 'Mon Aug 27 23:36:07 +0000 2012', 'favourites_count': 837, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 17614, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1421092029690437637/KArsd4Ad_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1421092029690437637/KArsd4Ad_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/785719056/1589298346', 'profile_link_color': '009999', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
8;Sat Jul 31 17:41:24 +0000 2021;1421526421764194309;1421526421764194309;E se eu comprar um skate novo hoje?;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";;;;;;{'id': 28274004, 'id_str': '28274004', 'name': 'comentarista do skate 🔴', 'screen_name': 'saulo_oliveira', 'location': 'BOA VISTA - RR ', 'description': 'Fotógrafo, publicitário e Skatista nas horas vagas. ⚠️ Aviso logo que aqui é tudo meme!', 'url': 'https://t.co/k7L1yUvqWJ', 'entities': {'url': {'urls': [{'url': 'https://t.co/k7L1yUvqWJ', 'expanded_url': 'http://Instagram.com/saulo_oliveira', 'display_url': 'Instagram.com/saulo_oliveira', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 3760, 'friends_count': 1206, 'listed_count': 23, 'created_at': 'Thu Apr 02 03:37:51 +0000 2009', 'favourites_count': 23501, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 32758, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '1A1B1F', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1110224115103870979/46qf6FnE_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1110224115103870979/46qf6FnE_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/28274004/1530238559', 'profile_link_color': 'A8A8A8', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': '252429', 'profile_text_color': '666666', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;{'id': 'ef4296e721b70dfe', 'url': 'https://api.twitter.com/1.1/geo/id/ef4296e721b70dfe.json', 'place_type': 'city', 'name': 'Boa Vista', 'full_name': 'Boa Vista, Brazil', 'country_code': 'BR', 'country': 'Brazil', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-61.000632, 2.427858], [-60.2877575, 2.427858], [-60.2877575, 3.606091], [-61.000632, 3.606091]]]}, 'attributes': {}};;False;0;0;False;False
9;Sat Jul 31 17:41:01 +0000 2021;1421526327513976840;1421526327513976840;vou comprar 1 skate só p lançar essa manobra aí https://t.co/nwuSio5GxA;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/nwuSio5GxA', 'expanded_url': 'https://twitter.com/FabioPorchat/status/1421437741905088512', 'display_url': 'twitter.com/FabioPorchat/s…', 'indices': [48, 71]}]};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";;;;;;{'id': 342956320, 'id_str': '342956320', 'name': 'ɴɪᴋᴏʟᴀs', 'screen_name': 'NIKAOLAS', 'location': 'lá', 'description': 'just a series of chemical errors\n\n\nBiologia - UFRJ\n\nNEYMARZETE FODASE', 'url': 'https://t.co/ESagZKpaah', 'entities': {'url': {'urls': [{'url': 'https://t.co/ESagZKpaah', 'expanded_url': 'http://instagram.com/nikolasaraujo_', 'display_url': 'instagram.com/nikolasaraujo_', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 193, 'friends_count': 168, 'listed_count': 0, 'created_at': 'Tue Jul 26 21:00:54 +0000 2011', 'favourites_count': 18194, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 11318, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '1A1B1F', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1347210652969017351/cKqanIdA_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1347210652969017351/cKqanIdA_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/342956320/1587516677', 'profile_link_color': '2FC2EF', 'profile_sidebar_border_color': '181A1E', 'profile_sidebar_fill_color': '252429', 'profile_text_color': '666666', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;True;0;0;False;False
10;Sat Jul 31 17:40:55 +0000 2021;1421526301467365382;1421526301467365382;Deixei um pedaço enorme de pele na lixa do meu skate a fazer um kickflip descalço. 100 euros mais fáceis da minha vida. Ahahha.;False;{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []};{'iso_language_code': 'pt', 'result_type': 'recent'};"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";;;;;;{'id': 1036272922728558592, 'id_str': '1036272922728558592', 'name': 'Sleov 🇷🇺', 'screen_name': 'Leoooboyyy', 'location': 'Portugal', 'description': 'Sou uma diva yeaa boyy 🙃', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 242, 'friends_count': 275, 'listed_count': 0, 'created_at': 'Sun Sep 02 15:21:32 +0000 2018', 'favourites_count': 3248, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 3905, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1216850328433430528/qIeCBFcl_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1216850328433430528/qIeCBFcl_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1036272922728558592/1594727577', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none', 'withheld_in_countries': []};;;;;False;0;0;False;False
